gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,scheduler_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,max_conversations,num_prompts,ray_vllm:prompt_tokens_total,ray_vllm:generation_tokens_total,ray_vllm:request_success_total,ray_vllm:time_to_first_token_seconds,ray_vllm:time_per_output_token_seconds,ray_vllm:e2e_request_latency_seconds,ray_vllm:request_queue_time_seconds,ray_vllm:request_inference_time_seconds,ray_vllm:request_prefill_time_seconds,ray_vllm:request_decode_time_seconds
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,random,10,200,40,100,False,False,10000,1000,1781449.0,96877.0,1001.0,0.162961,0.0248389,2.5432007,0.0488986,2.4943022,0.1140624,2.3802397
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,random,10,200,40,100,False,False,10000,1000,1781449.0,96884.0,1001.0,0.1657191,0.0247335,2.5363294,0.0516288,2.4847007,0.1140904,2.3706103
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,round_robin,10,200,40,100,False,False,10000,1000,1781449.0,96817.0,1001.0,0.1292751,0.0243626,2.4624501,0.0322426,2.4302076,0.0970326,2.333175
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,round_robin,10,200,40,100,False,False,10000,1000,1781449.0,96863.0,1001.0,0.1270102,0.0243518,2.4605698,0.0313314,2.4292384,0.0956788,2.3335595
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,pow_of_2,10,200,40,100,False,False,10000,1000,1781449.0,97033.0,1001.0,0.1970961,0.0241182,2.5120473,0.0630778,2.4489695,0.1340183,2.3149512
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,pow_of_2,10,200,40,100,False,False,10000,1000,1781449.0,97135.0,1001.0,0.1919749,0.023973,2.4957541,0.0594341,2.43632,0.1325409,2.3037791
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,prefix_aware,10,200,40,100,False,False,10000,1000,1781449.0,96511.0,1001.0,0.1282689,0.0209959,2.1333359,0.0447748,2.0885611,0.0834942,2.0050669
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,prefix_aware,10,200,40,100,False,False,10000,1000,1781449.0,96773.0,1001.0,0.1376064,0.0210642,2.1541302,0.0538971,2.1002331,0.0837093,2.0165238

L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_trees,random,10,200,40,100,False,False,10000,1000,1781449.0,97056.0,1001.0,0.1581821,0.0248665,2.5461429,0.0462001,2.4999428,0.111982,2.3879608
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_trees,round_robin,10,200,40,100,False,False,10000,1000,1781449.0,97104.0,1001.0,0.1237281,0.0246345,2.4903305,0.0290459,2.4612846,0.0946821,2.3666025
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_trees,pow_of_2,10,200,40,100,False,False,10000,1000,1781449.0,96927.0,1001.0,0.3229221,0.026239,2.8386,0.1486852,2.6899148,0.1742369,2.5156779
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_trees,prefix_aware,10,200,40,100,False,False,10000,1000,1781449.0,97196.0,1001.0,0.1225682,0.0213808,2.1787199,0.0436164,2.1351034,0.0789518,2.0561517
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_trees,random,10,200,40,100,False,False,10000,1000,1781449.0,96604.0,1001.0,0.1621033,0.0252748,2.5775438,0.048234,2.5293098,0.1138693,2.4154405
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_trees,round_robin,10,200,40,100,False,False,10000,1000,1781449.0,96834.0,1001.0,0.124292,0.0247585,2.4957995,0.0286934,2.4671062,0.0955986,2.3715076
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_trees,pow_of_2,10,200,40,100,False,False,10000,1000,1781449.0,96842.0,1001.0,0.3001155,0.0260144,2.7920419,0.1350408,2.6570011,0.1650747,2.4919264
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_trees,prefix_aware,10,200,40,100,False,False,10000,1000,1781449.0,96528.0,1001.0,0.1272944,0.0213074,2.1618794,0.0471134,2.114766,0.080181,2.034585
